Filtering the log data using "subsystem == "com.apple.hid" OR (process == "kernel" AND composedMessage CONTAINS "Apple")"
Timestamp                       Thread     Type        Activity             PID    TTL
2026-03-30 01:33:14.375722-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::externalMethod <- selector:0, arguments:<private>, dispatch:0x0, target:0x0, reference:0x0
2026-03-30 01:33:14.375737-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::extPerform <- inObj:<private>, inRef:<private>, inArg:<private>
2026-03-30 01:33:14.375754-0600 0x14bec5d  Default     0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServicesUserClient::extPerform: in md = <private> out md = <private>  out md size 1
2026-03-30 01:33:14.375756-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleBiometricServices) AppleBiometricServices::performCommand <- inData:<private>, outData:<private>, outSize:<private> --> _provider->performCommand
2026-03-30 01:33:14.375788-0600 0x14bec5d  Default     0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::transactToIOMD: command:0x40, inData:0x0, inDataSize:0, outData:<private>, outOptBytesWritten:<private>, flags:0x0
2026-03-30 01:33:14.375792-0600 0x14bec5d  Default     0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::transact: command:0x40, inData:0x0, inLength:0, outDataOut:<private>, outLength:<private>, flags:0x0
2026-03-30 01:33:14.375798-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::getEndpoint: -> 0,
2026-03-30 01:33:14.375799-0600 0x14bec5d  Default     0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::sendRawMessage: Message to SEP, request = 0xfc, command = 0x40, 0: 0 = 0 + 0
2026-03-30 01:33:14.375876-0600 0xaa       Default     0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::sepMessageHandler: Message from SEP, request = 0xfc, command = 0x40, 0: 1 = 0 + 1
2026-03-30 01:33:14.375888-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::transact: -> 0,
2026-03-30 01:33:14.375892-0600 0x14bec5d  Default     0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::writeBytesToIOMD: outData:<private>, inBuffer:<private>, inLength:1, outOptBytesWritten:<private>
2026-03-30 01:33:14.375898-0600 0x14bec5d  Debug       0x0                  0      0    kernel: (AppleSEPGenericTransfer) AppleSEPGenericTransfer::writeBytesToIOMD: -> 0,
